iter	Passed	Remaining
0	2	211
1	4	226
2	7	229
3	8	199
4	9	184
5	11	174
6	12	171
7	15	174
8	17	173
9	18	164
10	19	156
11	21	157
12	23	157
13	25	154
14	26	150
15	27	144
16	29	146
17	32	147
18	34	148
19	35	143
20	36	138
21	38	135
22	39	131
23	41	132
24	43	130
25	44	127
26	45	123
27	46	120
28	49	121
29	52	121
30	54	120
31	55	118
32	58	117
33	60	116
34	62	115
35	64	114
36	66	112
37	69	112
38	70	111
39	72	108
40	74	106
41	75	103
42	77	102
43	79	101
44	82	101
45	85	100
46	87	99
47	89	96
48	90	94
49	92	92
50	95	91
51	97	90
52	99	88
53	102	87
54	103	84
55	105	83
56	107	81
57	109	79
58	112	78
59	114	76
60	116	74
61	118	72
62	120	70
63	122	68
64	124	66
65	125	64
66	127	62
67	128	60
68	130	58
69	131	56
70	134	54
71	136	53
72	138	51
73	140	49
74	143	47
75	144	45
76	146	43
77	148	41
78	150	40
79	151	37
80	152	35
81	154	33
82	156	32
83	157	30
84	159	28
85	160	26
86	161	24
87	162	22
88	165	20
89	167	18
90	168	16
91	169	14
92	170	12
93	172	11
94	174	9
95	176	7
96	177	5
97	178	3
98	181	1
99	183	0
