iter	Passed	Remaining
0	160	160004
1	165	82670
2	170	56817
3	176	43952
4	182	36309
5	188	31179
6	193	27468
7	198	24653
8	204	22467
9	209	20694
10	214	19299
11	220	18120
12	224	17069
13	230	16199
14	235	15450
15	240	14774
16	245	14187
17	250	13692
18	256	13222
19	261	12805
20	266	12434
21	272	12102
22	277	11796
23	282	11490
24	287	11223
25	292	10970
26	297	10737
27	302	10513
28	306	10270
29	310	10032
30	313	9789
31	315	9549
32	318	9318
33	320	9104
34	322	8899
35	324	8702
36	326	8507
37	328	8324
38	330	8139
39	331	7964
40	333	7798
41	335	7647
42	336	7496
43	338	7352
44	339	7214
45	341	7081
46	342	6954
47	344	6827
48	345	6705
49	346	6588
50	348	6475
51	349	6369
52	350	6264
53	351	6163
54	352	6063
55	353	5967
56	355	5874
57	356	5784
58	357	5699
59	358	5615
60	359	5537
61	361	5462
62	362	5388
63	363	5318
64	364	5249
65	366	5182
66	367	5116
67	368	5053
68	370	4992
69	371	4933
70	372	4875
71	373	4819
72	375	4764
73	376	4710
74	377	4659
75	379	4608
76	380	4560
77	381	4513
78	383	4472
79	385	4430
80	386	4390
81	388	4346
82	388	4295
83	390	4253
84	391	4215
85	392	4174
86	393	4133
87	395	4099
88	397	4063
89	398	4027
90	399	3992
91	400	3956
92	402	3922
93	403	3887
94	404	3854
95	405	3821
96	407	3789
97	408	3759
98	410	3735
99	412	3710
100	413	3683
101	415	3655
102	416	3626
103	417	3598
104	418	3570
105	420	3542
106	421	3515
107	422	3488
108	423	3462
109	425	3442
110	427	3421
111	428	3399
112	430	3376
113	431	3352
114	432	3328
115	433	3305
116	434	3280
117	435	3258
118	437	3236
119	438	3215
120	440	3197
121	442	3185
122	444	3167
123	445	3148
124	446	3127
125	447	3107
126	448	3085
127	450	3065
128	451	3047
129	452	3027
130	453	3009
131	455	2994
132	457	2984
133	459	2968
134	460	2951
135	461	2934
136	463	2916
137	464	2900
138	465	2883
139	466	2866
140	468	2853
141	469	2835
142	471	2826
143	473	2812
144	474	2798
145	475	2784
146	477	2768
147	478	2753
148	479	2738
149	480	2723
150	481	2709
151	483	2696
152	484	2684
153	487	2678
154	488	2665
155	490	2652
156	491	2639
157	492	2625
158	493	2612
159	495	2599
160	495	2583
161	496	2570
162	497	2557
163	499	2545
164	501	2537
165	503	2527
166	504	2517
167	506	2506
168	507	2494
169	508	2482
170	509	2470
171	510	2459
172	512	2448
173	513	2437
174	515	2428
175	517	2423
176	519	2414
177	520	2404
178	521	2393
179	523	2382
180	524	2372
181	525	2361
182	526	2351
183	527	2340
184	528	2330
185	530	2322
186	532	2315
187	534	2306
188	535	2298
189	536	2288
190	538	2279
191	539	2269
192	540	2259
193	541	2250
194	542	2240
195	544	2233
196	546	2227
197	547	2218
198	548	2209
199	550	2200
200	551	2191
201	552	2182
202	553	2174
203	554	2165
204	556	2157
205	557	2148
206	558	2140
207	560	2132
208	561	2124
209	562	2116
210	563	2108
211	565	2100
212	566	2092
213	567	2084
214	568	2076
215	570	2068
216	571	2061
217	572	2053
218	573	2045
219	574	2038
220	576	2030
221	577	2023
222	578	2015
223	579	2007
224	580	2000
225	581	1993
226	583	1985
227	584	1978
228	585	1971
229	586	1964
230	587	1957
231	589	1950
232	590	1943
233	591	1936
234	592	1929
235	593	1922
236	595	1916
237	596	1909
238	597	1902
239	598	1895
240	599	1889
241	601	1882
242	602	1876
243	603	1870
244	604	1864
245	606	1858
246	607	1851
247	608	1845
248	609	1839
249	611	1833
250	612	1826
251	613	1820
252	614	1814
253	615	1808
254	616	1802
255	618	1796
256	619	1790
257	620	1784
258	621	1779
259	623	1773
260	624	1767
261	625	1761
262	626	1755
263	627	1750
264	629	1744
265	630	1739
266	631	1733
267	632	1728
268	633	1722
269	635	1717
270	636	1712
271	637	1706
272	638	1701
273	639	1695
274	641	1690
275	642	1685
276	643	1680
277	644	1674
278	646	1669
279	647	1664
280	648	1659
281	649	1654
282	651	1649
283	652	1644
284	653	1639
285	654	1634
286	655	1629
287	656	1624
288	658	1619
289	659	1614
290	660	1609
291	661	1604
292	663	1600
293	664	1595
294	665	1591
295	667	1586
296	668	1582
297	669	1577
298	670	1572
299	672	1568
300	673	1563
301	674	1558
302	675	1554
303	676	1549
304	678	1545
305	679	1540
306	680	1536
307	681	1531
308	683	1527
309	684	1522
310	685	1518
311	686	1513
312	687	1509
313	688	1505
314	690	1500
315	691	1496
316	692	1492
317	693	1488
318	695	1484
319	696	1480
320	697	1475
321	698	1471
322	700	1467
323	701	1463
324	702	1459
325	703	1454
